rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
103,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",103,124,3,"164285"
104,"spotify:track:2yASo8VKTM1Xpj9Wi5I0Fj","Zara Larsson","Blue Moon","Sommer House/Epic",17,163,7,"164235"
105,"spotify:track:4kKdvXD0ez7jp1296JmAts","Frank Sinatra, B. Swanson Quartet","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Columbia/Legacy",12,-1,48,"162870"
106,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",25,68,38,"162510"
107,"spotify:track:33EVpTZhoyQw1mStrZTKfO","Carola","Jul, jul strålande jul","Rival Records",23,-1,44,"161975"
108,"spotify:track:7bVwUOySQGO2afJ0LArAMi","Tommy Körberg","Stad i ljus","Ariola",47,-1,34,"160445"
109,"spotify:track:7JL2WLLaHZr9EgHyWfsKJk","JB, Yhaw hero","THE BAD GUY","FTPRECORDZ",109,-1,1,"160353"
110,"spotify:track:1xdmPfCpuGC9GuUXF24UND","Judit","Hej mitt vinterland","Filtr Kids",65,-1,22,"159827"
111,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",2,80,67,"159705"
112,"spotify:track:00N0RDX7n9W2LcgYQuECL3","Y4ska","CASANOVA","Y4SKA",25,41,3,"159123"
113,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",31,128,71,"159031"
114,"spotify:track:0SIKahWVv5FT5ow3UUB80s","Mando Diao","Strövtåg i hembygden","Playground Music",26,105,147,"157594"
115,"spotify:track:789CxjEOtO76BVD1A9yJQH","Rihanna, Mikky Ekko","Stay","Def Jam Recordings",70,85,45,"157164"
116,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",51,89,89,"156720"
117,"spotify:track:55m2vizhdnC34lToqqzgcw","Petter, Eah Jé","Bakom molnen","BABA Recordings",34,53,5,"156616"
118,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",9,66,22,"156578"
119,"spotify:track:4o5Ob60pz8QHcFKcr4MWyf","Bolaget","Ikväll Igen","WM Sweden",1,70,138,"156537"
120,"spotify:track:1cXm6KY22SVKcyiWa0SUBx","Humlan Djojj, Josefine Götestam","Jag kan inte sova","Filtr Kids",92,101,19,"155237"
