rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
174,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",26,114,21,"83803"
175,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",31,-1,69,"83506"
176,"spotify:track:7AxXJXqJOMRqkgZxvG3r6E","Tate McRae","TRYING ON SHOES","RCA Records Label",176,-1,1,"83145"
177,"spotify:track:7IuV1ncgemMSP0qJYvhxj9","Rasmus Seebach","Olivia","Universal Music AB",146,182,9,"82007"
178,"spotify:track:5NUXAUIItJAxBIUOdm0gUf","Jonas Brothers","Like It's Christmas","Hollywood Records",79,-1,24,"81865"
179,"spotify:track:3XsaSIPWvM61RIFfeb0BBR","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","White Christmas - 1947 Version","Geffen",25,-1,46,"81502"
180,"spotify:track:5yiJTfrtlzDsVMDshFLUna","Artigeardit, Lamin","vi ku' blive","Universal Music A/S",4,127,122,"81316"
181,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",23,196,34,"81069"
182,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",167,167,3,"81021"
183,"spotify:track:1N1ZpYUJc9fwrqk53FGgWv","Sia","Santa's Coming for Us","Monkey Puzzle/Atlantic",57,-1,41,"80952"
184,"spotify:track:1upFqX3mJflCB0QGJNJStY","Christopher, Thor Farlov","Hvor Var Jeg Endt","WM Denmark",7,164,34,"80588"
185,"spotify:track:76ol9JbwVYhuYk5sey6CAo","Malte Ebert","Christmas Without You","Universal Music A/S",111,-1,21,"80467"
186,"spotify:track:1TjxFh0GZiQedyDJb5mb2s","JONATHAN","hun mærker aldrig smerten.","Jonathan Tage",65,103,9,"80236"
187,"spotify:track:1yxcKrEcxt4O03IIC25yHk","Tony Bennett","Winter Wonderland","Columbia/Legacy",18,-1,45,"79940"
