rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
131,"spotify:track:1GnmIFvZ44rIVwz1rUJWXd","Emma Steinbakken","Wild","Emma Steinbakken",131,-1,1,"91943"
132,"spotify:track:6A18pcBX8QZGwI8EkR7aIP","Tate McRae","Siren sounds (bonus)","RCA Records Label",32,182,14,"91620"
133,"spotify:track:6MCihkWk7j29K51uShB0Kh","Zimmermann","Frostrøyk","WM Norway",133,-1,4,"91174"
134,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",9,107,25,"91077"
135,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,109,67,"90637"
136,"spotify:track:4hS14RwcNzMrO9QZ76mVII","Erik Follestad, Linni Meister","Juletragedien","All In/GG Music",1,-1,50,"90598"
137,"spotify:track:3acaDSqgRjQNDkwSnRAG6v","Odd Nordstoga, Ingebjørg Bratland","Jolevise","Universal Music AS",61,-1,35,"90345"
138,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",8,96,22,"90228"
139,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",61,91,182,"90093"
140,"spotify:track:3dj4wgM3cPeuLwMNHDuBon","Teddy Swims","The Door","Warner Records",57,111,91,"90082"
141,"spotify:track:1wOp7yTVyH176bW1z9WAiv","Alex Warren","Carry You Home","Atlantic Records",26,138,76,"89933"
142,"spotify:track:70C4NyhjD5OZUMzvWZ3njJ","Billy Joel","Piano Man","Columbia/Legacy",70,106,11,"89627"
143,"spotify:track:07F3aHvvLxqV5Fp49pkwpZ","Tobias Sten","Heim te ståvo","Universal Music AS",49,147,36,"89226"
