rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
105,"spotify:track:3QqsEc7mv1Kq9aWNpQgHsU","Katri Helena","Joulumaa","WEA",8,176,41,"71505"
106,"spotify:track:3YN9slNzWqj1r7yHV8ldji","Alina Burnet","Tyttö maan pääl","Sony Music Entertainment Finland",6,88,16,"71204"
107,"spotify:track:3Xjgi1bXg27zxz3JIOVz1j","JVG","Rehellisesti","PME Records",1,117,43,"70955"
108,"spotify:track:4dQM0IDDLjh4yzLVqW2S3G","VIIVI","Tulipalo (Vain elämää kausi 16)","WM Finland",16,63,4,"70906"
109,"spotify:track:6l1fgYZ3PCGFe35VAAbkHC","helmi marleena","sydän sydän sydän","Universal Music Oy",26,78,7,"70378"
110,"spotify:track:6jRJ1RAvdNxC1TG03VRFVg","Averagekidluke","On / Off","WM Finland",3,123,65,"69999"
111,"spotify:track:71hoYrgo1nxzWp9hfhu0Fi","Averagekidluke, Turisti","Vitun hyvin","WM Finland",1,120,67,"69172"
112,"spotify:track:5Qk2r9VPCloxC7h0ufY1wb","SHRTY","Paremmin nyt","Universal Music Oy",31,31,2,"68859"
113,"spotify:track:7LOnFWrryt1wg8RvrXKWU3","Lauri Haav","Syksyn vihreillä","PME Records",28,93,22,"67953"
114,"spotify:track:14WphbjwdiMZNkT0YhcnkW","KAUKUA, AHTI","Jos viel tänään (feat. AHTI)","WM Finland",21,104,10,"67717"
115,"spotify:track:643oAKTJRrWg6sd7Npc0Qk","Behm, Olavi Uusivirta","Viimeinen tanssi","WM Finland",2,105,131,"67692"
116,"spotify:track:5zBFyivO2fctJtXufjyVz5","BESS, Käärijä","Kaistaa","Universal Music Oy",4,113,36,"67657"
117,"spotify:track:6xLnpRH0AICTolSlPERAJK","KAUKUA","10 000 tuntii","WM Finland",26,102,36,"67490"
118,"spotify:track:7GdqPP7jriHMeDlXIMpZ7l","Minttu","Paperihaavoja","Universal Music Oy",40,121,9,"67486"
119,"spotify:track:2LJRYbk4aD1ymKo5JoKd10","Turisti","Million Dollar Lifestyle","WM Finland",15,99,6,"66482"
120,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",39,135,40,"66244"
121,"spotify:track:7xapw9Oy21WpfEcib2ErSA","Justin Bieber","Mistletoe","RBMG/Def Jam",9,173,47,"65988"
122,"spotify:track:3YxP03ZZuWO31SoE0uigI3","Ares","Ɐ","WM Finland",3,129,44,"65936"
123,"spotify:track:4qx145pj9gqLkRS3kLDXBB","Bizi, william","Draama - Remix","PME Records",6,142,96,"65536"
124,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",124,199,2,"65504"
125,"spotify:track:3P1pM5vlWSugzuBlVKRZjG","Ares, Bizi","T-paita (feat. Bizi)","WM Finland",2,114,44,"65383"
126,"spotify:track:78jY6qGQtZAM7E5W7APoNg","Jenni Vartiainen","Ihmisten edessä","WEA",48,112,87,"65211"
127,"spotify:track:4GKP3ZIE6dBeZzhaPI6jGy","Ares","Haaveissa Vainko Oot Mun","WM Finland",42,116,25,"64983"
128,"spotify:track:5FDmZWWDKd875GWf7v6sOd","Averagekidluke","Trap Queen","WM Finland",9,124,65,"64816"
129,"spotify:track:6g9WHMklrI0JxjtM9STpcU","KERZA","Kadut tietää","WM Finland",19,111,10,"64572"
130,"spotify:track:0wrhLxy4aDAQ0z3FOa4aoe","Cheek","Timantit on ikuisia","WM Finland",19,132,71,"64513"
131,"spotify:track:7lOQNzL9pLMM6UttEQPLLU","Elastinen","Jos tää ei oo se","WM Finland",15,119,7,"64223"
132,"spotify:track:1FCjidFdL7qwloCUnzQkoD","Benjamin","Bensaa tulipaloon","WM Finland",34,83,5,"64117"
133,"spotify:track:3T0OPSiU5iP5Gug9PP5DXX","Averagekidluke, Ares","Aitomies","WM Finland",11,146,24,"63847"
134,"spotify:track:4zfCDCuYM2r0rCRWdnhS1n","VIIVI","Ilman sua","WM Finland",9,128,22,"63708"
135,"spotify:track:31cfIPavBmouovpnCNEqwR","Turisti, Olavi Uusivirta","Mä nään sun läpi (feat. Olavi Uusivirta)","WM Finland",10,96,6,"63056"
136,"spotify:track:73kBsYMLlAQFcGym49f74g","Turisti, Sexmane","Lightskinboy (feat. Sexmane)","WM Finland",6,108,79,"62803"
137,"spotify:track:6nb2FSfXsVLdhWErcBX2ea","Aaro630","Romanssi","Sony Music Entertainment Finland",137,-1,1,"62729"
138,"spotify:track:0Gv4pKOPGajSF63YDPqKjD","Jore & Zpoppa, william","Bämä (feat. william)","Laundry Music Company",4,136,123,"62652"
139,"spotify:track:1TQS9xivhWJWk00HgEF3Wu","Mouhous","Rakkaudesta manii","WM Finland",24,97,5,"62645"
140,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",130,144,23,"62340"
141,"spotify:track:5uz5v1hRZLjNGatcPtOWUv","EsDeeKid, fakemink, Rico Ace","LV Sandals","Lizzy Records",141,-1,1,"60925"
142,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",142,-1,1,"60896"
143,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",143,152,4,"60861"
144,"spotify:track:01JDCFcAyHpU9JvzAi1xWs","emma & matilda","Yöperhonen","WM Finland",17,137,10,"60701"
145,"spotify:track:47p94jgL5CekzREJnOp3M0","Mirella","Löytää mut","Universal Music Oy",1,-1,54,"60504"
146,"spotify:track:2XaewhXngZd2Zi4ijFIkK0","Behm","Hei rakas","WM Finland",1,134,289,"60384"
147,"spotify:track:5gLl4Zq68qpJZPVbY3EBZg","AHTI, Averagekidluke","Kissa (feat. Averagekidluke)","WM Finland",4,180,86,"60157"
148,"spotify:track:0HHQoono8fCyLgZOgAwosN","AHTI, HUGO","Väärään aikaan (feat. HUGO)","WM Finland",1,139,103,"59501"
149,"spotify:track:639MLWuV3iPulpKiOmkabk","Averagekidluke, Sexmane, Isac Elliot","Anna armoo","WM Finland",8,155,24,"59477"
150,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",108,125,16,"59379"
151,"spotify:track:5T4wJfpwn3sEJdA4OovEfR","Antti Tuisku","Lämmin lumi peittää maan","RCA Records Label",11,-1,38,"59369"
152,"spotify:track:67mgz7S5y7hnCE63YBjfO6","Michael Bublé","Holly Jolly Christmas","Reprise",18,-1,36,"59337"
153,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",41,130,26,"59217"
154,"spotify:track:7KCwlgnSizc7FT7z8irVWk","Nelli Matula","Uus ikuisuus","Universal Music Oy",20,153,12,"58945"
155,"spotify:track:625qY3SEapY3D5tPoeG5Rz","Komiat","Kaihosielu","WM Finland",16,115,34,"58890"
156,"spotify:track:4rzRKGcbQ5faVnrMX494iS","Mouhous","Saat mut syttyy","WM Finland",46,168,13,"58847"
